SessionID,Filename,Series,TargComp,Modifier,TrainOnset,Transcription,Comments,ShiftDir,PragCon,PercCon,For each file -
1,T_01_01.wav,1,bow / Bow_Arrow,1,1381,a blue ribbon, ,S->C,TRUE,TRUE,
1,T_02_04.wav,2,bin_lid / bin_pedal,0,1052,a black bin, ,S->C,TRUE,TRUE,Those with a T (e.g. T_01_01.wav) are TRAINING trials.
1,T_03_01.wav,3,croc / croc_lilo,0,1434,an aligator, ,S->C,TRUE,TRUE,
1,T_04_01.wav,4,coffee_cup / coffee_saucer,0,1397,a cup of coffee, ,S->C,TRUE,TRUE,Those with a Z (e.g. Z_47.wav) are TEST trials.
1,T_05_01.wav,5,mirror_wall / mirror_hand,0,999,a mirror, ,S->C,TRUE,TRUE,
1,T_06_06.wav,6,chair_wooden / chair_baby,1,1109,a wooden chair, ,S->C,TRUE,TRUE,Those with a F (e.g. F_uncv_13_03.wav) are UNCONVENTIONAL TRAINING.
1,T_07_06.wav,7,lighter_flame / lighter_noflame,0,1032,a lighter, ,S->C,FALSE,TRUE,
1,T_08_05.wav,8,egg_shell / egg_yolk,0,1873,ah an egg, ,S->C,FALSE,TRUE,Those with a Y (e.g. Y_uncv_21.wav) are UNCONVENTIONAL TEST.
1,T_09_01.wav,9,umbrella_open / umbrella_closed,0,1045,a red umbrella, ,S->C,FALSE,TRUE,
1,T_10_04.wav,10,candle_unused / candle_melted,0,1123,a candle, ,S->C,FALSE,TRUE,
1,T_11_04.wav,11,knife_kitchen / knife_swiss,0,1051,a knife, ,S->C,FALSE,TRUE,
1,T_12_01.wav,12,car_family / car_sports,0,1811,a silver car, ,S->C,FALSE,TRUE,
1,T_13_01.wav,13,carrots / carrots_chopped,0,1330,carrots, ,S->C,TRUE,FALSE,
1,T_14_05.wav,14,gun_real / gun_toy,0,1796,it's a gun, ,S->C,TRUE,FALSE,
1,T_15_01.wav,15,saddle_horse / saddle_bike,1,1441,a horse saddle, ,S->C,TRUE,FALSE,
1,T_16_06.wav,16,pad_unlocked / pad_locked,0,920,padlock, ,S->C,TRUE,FALSE,
1,T_17_06.wav,17,headphones_large / headphones_small,0,1104,black headphones, ,S->C,TRUE,FALSE,
1,T_18_04.wav,18,battery_AA / battery_car,0,1123,a battery, ,S->C,TRUE,FALSE,
1,T_19_01.wav,19,wine_glass / wine_red,0,990,wine glass, ,S->C,FALSE,FALSE,
1,T_20_01.wav,20,money_notes / money_coins,0,964,money, ,S->C,FALSE,FALSE,
1,T_21_01.wav,21,boot_foot / boot_car,1,1170,and a black boot, ,S->C,FALSE,FALSE,
1,T_22_01.wav,22,camera_corder / camera_cctv,0,1429,camera, ,S->C,FALSE,FALSE,
1,T_23_01.wav,23,guitar_acoustic / guitar_electric,1,983,an acoustic guitar, ,S->C,FALSE,FALSE,
1,T_24_01.wav,24,glove_wooly / glove_boxing,0,889,a red glove, ,S->C,FALSE,FALSE,
1,T_25_05.wav,25,teapot_white / teapot_cosy,1,1248,a white teapot without a cosy, ,C->S,TRUE,TRUE,
1,T_26_01.wav,26,plug / plug_bath,1,1402,a wall plug, ,C->S,TRUE,TRUE,
1,T_27_01.wav,27,saw_hand / saw_electric,1,1045,a handheld saw, ,C->S,TRUE,TRUE,
1,T_28_01.wav,28,fan_hand / fan_electric,1,1309,a manual fan, ,C->S,TRUE,TRUE,
1,T_29_06.wav,29,orange_skin / orange_slice,1,1181,a full orange, ,C->S,TRUE,TRUE,
1,T_30_01.wav,30,spade_garden / spade_beach,1,1315,a large shovel, ,C->S,TRUE,TRUE,
1,T_31_06.wav,31,key_gold / key_car,1,1014,a copper key, ,C->S,FALSE,TRUE,
1,T_32_01.wav,32,helmet / helmet_crash,1,1248,a cycle helmet with lots of holes, ,C->S,FALSE,TRUE,
1,T_33_06.wav,33,bell_hand / bell_bike,1,1555,a handheld bell, ,C->S,FALSE,TRUE,
1,T_34_01.wav,34,cheese_block / cheese_blue,1,1539,a block of holey cheese, ,C->S,FALSE,TRUE,
1,T_35_05.wav,35,nail / nail_finger,1,1261,a metal nail, ,C->S,FALSE,TRUE,
1,T_36_05.wav,36,vase / vase_flowers,1,1022,an empty vase, ,C->S,FALSE,TRUE,
1,T_37_01.wav,37,clock_wall / clock_digital,1,1285,a clock on the wall, ,C->S,TRUE,FALSE,
1,T_38_04.wav,38,hat_sun / hat_cowboy,1,1236,a hat with a black ribbon, ,C->S,TRUE,FALSE,
1,T_39_01.wav,39,pen_ballpoint / pen_nolid,1,1123,a lid with a penÉa pen with a lid on, ,C->S,TRUE,FALSE,
1,T_40_06.wav,40,apple_red / apple_green,1,906,red apple, ,C->S,TRUE,FALSE,
